date,latitude,longitude
03/04/2022,47.506757,34.58523
03/04/2022,47.105284,37.63597
03/04/2022,50.57457,30.263522
03/04/2022,50.02848,36.34526
03/04/2022,48.94229,38.495832
03/04/2022,48.941053,38.494238
03/04/2022,50.004164,36.23756
03/04/2022,50.023956,36.360905
03/04/2022,50.27242,30.372484
03/04/2022,46.063738,30.449494
03/04/2022,50.2515,28.664056
03/05/2022,50.498014,31.259219
03/05/2022,50.041392,36.357527
03/05/2022,50.497374,30.242286
03/05/2022,50.03448,36.369282
03/05/2022,50.042143,36.359936
03/05/2022,48.856602,38.483106
03/05/2022,50.008776,36.278397
03/05/2022,49.536386,39.10567
03/05/2022,50.024673,36.339848
03/05/2022,49.805255,30.097353
03/05/2022,50.95849,28.612302
03/06/2022,48.048675,37.777572
03/06/2022,48.054903,37.77782
03/06/2022,47.921506,37.571331
03/06/2022,48.057889,37.779528
03/06/2022,50.023189,36.322433
03/06/2022,49.983077,36.197984
03/06/2022,50.421848,30.045485
03/06/2022,47.662119,36.251608
03/06/2022,50.060955,36.202167
03/06/2022,49.243102,28.604546
03/06/2022,50.490049,30.26019
03/06/2022,50.041402,36.358092
03/06/2022,50.655429,31.073098
03/06/2022,50.090056,36.256585
03/06/2022,50.034117,36.36668
03/06/2022,48.72645,37.60624
03/06/2022,51.330531,28.800654
03/07/2022,46.938416,32.040052
03/07/2022,49.196915,37.275741
03/07/2022,50.439997,30.146861
03/07/2022,50.04477,36.279264
03/07/2022,49.98062,36.360366
03/07/2022,46.842734,32.005031
03/07/2022,50.040964,36.226526
03/07/2022,49.189238,37.273744
03/07/2022,50.897808,34.767515
03/07/2022,46.942718,32.035594
03/07/2022,49.988607,36.245023
03/07/2022,48.514506,39.299563
03/07/2022,49.988014,36.245145
03/07/2022,50.766983,29.242108
03/07/2022,46.672988,32.643975
03/07/2022,50.059072,36.199504
03/07/2022,50.703955,31.150637
03/07/2022,50.035792,36.230087
03/07/2022,50.03399,36.366896
03/08/2022,48.872316,38.438547
03/08/2022,49.588154,36.566303
03/08/2022,47.10436,37.5607
03/08/2022,50.304303,34.89354
